GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0044267	P	cellular protein metabolic process	9	72	3841	28362	0.65	1	// AT3G16480 // AT1G64880 // ATCG00490 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT5G60960 // AT4G11120 
GO:0044260	P	cellular macromolecule metabolic process	20	72	7410	28362	0.42	1	// AT5G54580 // AT3G16480 // AT1G64880 // AT3G19170 // AT4G11120 // AT3G49240 // ATCG00490 // AT1G10270 // AT3G15000 // AT1G70190 // AT4G09730 // AT2G31060 // AT4G30930 // AT1G80270 // AT5G64670 // AT3G22310 // AT5G60960 // AT1G61870 // AT3G22330 // AT5G61030 
GO:0065007	P	biological regulation	8	72	6062	28362	0.99	1	// AT3G19170 // AT3G49240 // AT5G60960 // AT1G10270 // AT4G29130 // AT3G17240 // AT3G08580 // AT5G67500 
GO:0018130	P	heterocycle biosynthetic process	6	72	2957	28362	0.77	1	// AT2G33040 // AT3G19170 // AT5G08690 // AT1G10270 // AT4G11010 // AT5G60960 
GO:0050794	P	regulation of cellular process	5	72	4857	28362	1	1	// AT3G17240 // AT5G60960 // AT1G10270 // AT3G19170 // AT4G29130 
GO:0043412	P	macromolecule modification	9	72	2532	28362	0.19	1	// AT5G54580 // AT3G49240 // ATCG00490 // AT1G10270 // AT3G15000 // AT5G61030 // AT1G80270 // AT5G60960 // AT1G61870 
GO:0034654	P	nucleobase-containing compound biosynthetic process	6	72	2781	28362	0.72	1	// AT2G33040 // AT3G19170 // AT5G08690 // AT1G10270 // AT4G11010 // AT5G60960 
GO:0016070	P	RNA metabolic process	12	72	3403	28362	0.15	1	// AT5G54580 // AT4G09730 // AT3G19170 // AT3G49240 // AT3G22330 // AT1G10270 // AT3G15000 // AT5G61030 // AT1G80270 // AT3G22310 // AT5G60960 // AT1G61870 
GO:0044271	P	cellular nitrogen compound biosynthetic process	12	72	4436	28362	0.45	1	// AT2G33040 // AT1G64880 // AT3G19170 // AT5G08690 // AT1G10270 // AT4G11010 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT5G60960 // AT4G11120 
GO:0044249	P	cellular biosynthetic process	18	72	5870	28362	0.22	1	// AT2G33040 // AT1G64880 // AT3G19170 // AT2G37250 // AT5G08690 // AT1G10270 // AT4G11010 // AT4G30930 // AT1G70190 // AT2G31060 // AT5G66510 // AT5G37510 // AT5G64670 // AT5G63510 // AT4G11120 // AT5G60960 // ATCG00490 // AT2G43360 
GO:0034645	P	cellular macromolecule biosynthetic process	9	72	4455	28362	0.82	1	// AT1G64880 // AT3G19170 // AT5G60960 // AT1G10270 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0009719	P	response to endogenous stimulus	7	72	1732	28362	0.15	1	// AT4G37910 // AT5G63510 // AT3G07480 // AT1G51980 // AT5G66510 // ATCG00490 // AT5G67500 
GO:0032502	P	developmental process	10	72	3233	28362	0.3	1	// AT1G19520 // AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT2G37250 // AT5G48030 // AT1G10270 
GO:0032501	P	multicellular organismal process	10	72	3032	28362	0.24	1	// AT1G19520 // AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT2G37250 // AT5G48030 // AT1G10270 
GO:0048608	P	reproductive structure development	5	72	1265	28362	0.22	1	// AT5G63510 // AT5G37510 // AT4G21020 // AT3G22200 // AT3G49240 
GO:0009058	P	biosynthetic process	19	72	6255	28362	0.23	1	// AT2G45290 // AT1G64880 // AT3G19170 // AT2G33040 // AT2G37250 // AT5G08690 // AT1G10270 // AT4G11010 // AT4G30930 // AT1G70190 // AT2G31060 // AT5G66510 // AT5G37510 // AT5G64670 // AT5G63510 // AT4G11120 // AT5G60960 // ATCG00490 // AT2G43360 
GO:0043170	P	macromolecule metabolic process	24	72	8111	28362	0.22	1	// AT3G16480 // AT3G49240 // AT5G53350 // AT2G31060 // AT3G02090 // AT5G64670 // AT5G54580 // AT1G10270 // AT3G15000 // AT5G23140 // AT4G09730 // AT3G19170 // ATCG00490 // AT3G22330 // AT1G61870 // AT4G30930 // AT3G22310 // AT5G61030 // AT1G64880 // AT5G60960 // AT1G70190 // AT1G51980 // AT1G80270 // AT4G11120 
GO:0048731	P	system development	6	72	1929	28362	0.37	1	// AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT5G37510 // AT2G37250 
GO:0061458	P	reproductive system development	5	72	1265	28362	0.22	1	// AT5G63510 // AT5G37510 // AT4G21020 // AT3G22200 // AT3G49240 
GO:0090304	P	nucleic acid metabolic process	12	72	3768	28362	0.24	1	// AT5G54580 // AT4G09730 // AT3G19170 // AT3G49240 // AT3G22330 // AT1G10270 // AT3G15000 // AT5G61030 // AT1G80270 // AT3G22310 // AT5G60960 // AT1G61870 
GO:0007275	P	multicellular organism development	10	72	2811	28362	0.17	1	// AT1G19520 // AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT2G37250 // AT5G48030 // AT1G10270 
GO:0010467	P	gene expression	14	72	4747	28362	0.31	1	// AT4G09730 // AT3G16480 // AT1G64880 // AT3G19170 // AT3G49240 // AT5G60960 // AT1G10270 // AT3G22330 // AT1G70190 // AT2G31060 // AT4G30930 // AT3G02090 // AT5G64670 // AT4G11120 
GO:0071702	P	organic substance transport	5	72	1234	28362	0.2	1	// AT3G16480 // AT3G08580 // AT5G55200 // AT5G43970 // AT1G61570 
GO:1901576	P	organic substance biosynthetic process	16	72	5913	28362	0.43	1	// AT2G45290 // AT1G64880 // AT3G19170 // AT2G33040 // AT2G37250 // AT5G08690 // AT1G10270 // AT4G11010 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // ATCG00490 // AT4G11120 // AT5G60960 // AT2G43360 
GO:0044767	P	single-organism developmental process	10	72	3131	28362	0.27	1	// AT1G19520 // AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT2G37250 // AT5G48030 // AT1G10270 
GO:0022414	P	reproductive process	7	72	1715	28362	0.14	1	// AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT5G48030 
GO:0009059	P	macromolecule biosynthetic process	9	72	4511	28362	0.83	1	// AT1G64880 // AT3G19170 // AT5G60960 // AT1G10270 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0048856	P	anatomical structure development	10	72	3146	28362	0.27	1	// AT1G19520 // AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT2G37250 // AT5G48030 // AT1G10270 
GO:0043169	F	cation binding	34	72	3678	28362	1.8e-12	2.6e-10	// AT3G16480 // AT3G62530 // AT4G37910 // AT5G20080 // AT3G22200 // AT3G02090 // AT5G11770 // AT5G48030 // AT3G09810 // AT5G08530 // AT2G45290 // AT5G08690 // AT3G15000 // AT1G61570 // AT5G66510 // AT5G63400 // AT5G37510 // ATCG00490 // AT3G17240 // AT5G23140 // AT3G19170 // AT5G63510 // AT5G55200 // AT4G11010 // AT4G29130 // AT3G08580 // AT2G33040 // AT4G02580 // AT1G51980 // AT1G22450 // AT5G61030 // AT2G43360 // AT1G48570 // AT3G27240 
GO:0046872	F	metal ion binding	34	72	3673	28362	1.8e-12	2.6e-10	// AT3G16480 // AT3G62530 // AT4G37910 // AT5G20080 // AT3G22200 // AT3G02090 // AT5G11770 // AT5G48030 // AT3G09810 // AT5G08530 // AT2G45290 // AT5G08690 // AT3G15000 // AT1G61570 // AT5G66510 // AT5G63400 // AT5G37510 // ATCG00490 // AT3G17240 // AT5G23140 // AT3G19170 // AT5G63510 // AT5G55200 // AT4G11010 // AT4G29130 // AT3G08580 // AT2G33040 // AT4G02580 // AT1G51980 // AT1G22450 // AT5G61030 // AT2G43360 // AT1G48570 // AT3G27240 
GO:0043167	F	ion binding	34	72	3821	28362	5.4e-12	5e-10	// AT3G16480 // AT3G62530 // AT4G37910 // AT5G20080 // AT3G22200 // AT3G02090 // AT5G11770 // AT5G48030 // AT3G09810 // AT5G08530 // AT2G45290 // AT5G08690 // AT3G15000 // AT1G61570 // AT5G66510 // AT5G63400 // AT5G37510 // ATCG00490 // AT3G17240 // AT5G23140 // AT3G19170 // AT5G63510 // AT5G55200 // AT4G11010 // AT4G29130 // AT3G08580 // AT2G33040 // AT4G02580 // AT1G51980 // AT1G22450 // AT5G61030 // AT2G43360 // AT1G48570 // AT3G27240 
GO:0046914	F	transition metal ion binding	23	72	1912	28362	1.9e-10	1.3e-08	// AT3G16480 // AT3G62530 // AT4G37910 // AT5G20080 // AT1G48570 // AT3G02090 // AT5G11770 // AT5G08690 // AT3G15000 // AT1G61570 // AT5G63400 // AT3G17240 // AT5G23140 // AT3G22200 // AT5G55200 // AT4G11010 // AT5G61030 // AT3G08580 // AT2G33040 // AT4G02580 // AT1G22450 // AT4G29130 // AT2G43360 
GO:0005507	F	copper ion binding	9	72	238	28362	1.3e-08	7.2e-07	// AT5G20080 // AT5G08690 // AT5G55200 // AT1G61570 // AT5G61030 // AT5G63400 // AT1G22450 // AT3G17240 // AT3G08580 
GO:0016651	F	oxidoreductase activity, acting on NAD(P)H	7	72	127	28362	5e-08	2.4e-06	// AT5G08530 // AT5G20080 // AT5G11770 // AT4G02580 // AT5G37510 // AT5G47890 // AT3G17240 
GO:0005488	F	binding	53	72	12081	28362	9.8e-08	3.6e-06	// AT3G16480 // AT3G62530 // AT4G37910 // AT5G20080 // AT3G49240 // AT5G53350 // AT3G07480 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G48030 // AT3G09810 // AT5G54580 // AT2G45290 // AT4G29130 // AT5G08690 // AT1G10270 // AT3G15000 // AT1G61570 // AT2G26080 // AT5G61030 // AT5G66510 // AT5G63400 // AT5G37510 // ATCG00490 // AT3G17240 // AT5G23140 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G63510 // AT5G55200 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT3G08580 // AT3G22330 // AT4G36680 // AT2G33040 // AT1G64880 // AT5G60960 // AT4G02580 // AT1G51980 // AT2G45030 // AT1G80270 // AT1G22450 // AT1G61870 // AT2G43360 // AT1G48570 // AT3G27240 
GO:0016655	F	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	5	72	40	28362	1e-07	3.6e-06	// AT5G08530 // AT5G11770 // AT5G37510 // AT5G47890 // AT4G02580 
GO:0050897	F	cobalt ion binding	5	72	48	28362	2.4e-07	7.4e-06	// AT3G17240 // AT3G22200 // AT3G15000 // AT4G11010 // AT5G23140 
GO:0016491	F	oxidoreductase activity	16	72	1547	28362	1.4e-06	3.3e-05	// AT5G08530 // AT3G16480 // AT5G20080 // ATCG00490 // AT1G22450 // AT5G11770 // AT4G02580 // AT2G26080 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G47890 // AT3G52730 // AT3G17240 // AT1G51980 // AT3G09810 
GO:0051536	F	iron-sulfur cluster binding	6	72	131	28362	1.3e-06	3.3e-05	// AT5G08530 // AT3G07480 // AT5G11770 // AT4G02580 // AT5G37510 // AT2G43360 
GO:0051540	F	metal cluster binding	6	72	131	28362	1.3e-06	3.3e-05	// AT5G08530 // AT3G07480 // AT5G11770 // AT4G02580 // AT5G37510 // AT2G43360 
GO:0008270	F	zinc ion binding	14	72	1297	28362	4.5e-06	9.6e-05	// AT3G16480 // AT3G62530 // AT4G37910 // AT2G33040 // AT4G11010 // AT1G48570 // AT3G22200 // AT4G02580 // AT4G29130 // AT3G02090 // AT5G11770 // AT3G17240 // AT5G23140 // AT2G43360 
GO:0003723	F	RNA binding	17	72	1943	28362	5.9e-06	0.0001	// AT5G54580 // AT4G09730 // AT1G64880 // AT2G45030 // AT5G08690 // AT1G10270 // AT3G49240 // AT3G22330 // AT5G61030 // AT2G31060 // AT4G30930 // AT1G80270 // AT4G11120 // AT3G22310 // AT5G60960 // AT1G61870 // AT4G36680 
GO:0000166	F	nucleotide binding	23	72	3370	28362	5.9e-06	0.0001	// AT4G37910 // AT3G49240 // AT5G53350 // AT5G55200 // AT2G31060 // AT4G29130 // AT5G48030 // AT3G09810 // AT5G54580 // AT5G08690 // AT2G26080 // AT5G63400 // AT3G17240 // AT4G09730 // AT5G08530 // AT3G22330 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G37250 // AT1G51980 // AT2G45030 // AT5G61030 
GO:1901265	F	nucleoside phosphate binding	23	72	3370	28362	5.9e-06	0.0001	// AT4G37910 // AT3G49240 // AT5G53350 // AT5G55200 // AT2G31060 // AT4G29130 // AT5G48030 // AT3G09810 // AT5G54580 // AT5G08690 // AT2G26080 // AT5G63400 // AT3G17240 // AT4G09730 // AT5G08530 // AT3G22330 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G37250 // AT1G51980 // AT2G45030 // AT5G61030 
GO:0032553	F	ribonucleotide binding	20	72	2664	28362	7.3e-06	0.00012	// AT4G09730 // AT5G08530 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT5G61030 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0036094	F	small molecule binding	23	72	3434	28362	8.1e-06	0.00013	// AT4G37910 // AT3G49240 // AT5G53350 // AT5G55200 // AT2G31060 // AT4G29130 // AT5G48030 // AT3G09810 // AT5G54580 // AT5G08690 // AT2G26080 // AT5G63400 // AT3G17240 // AT4G09730 // AT5G08530 // AT3G22330 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G37250 // AT1G51980 // AT2G45030 // AT5G61030 
GO:0097367	F	carbohydrate derivative binding	20	72	2696	28362	8.8e-06	0.00013	// AT4G09730 // AT5G08530 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT5G61030 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0003824	F	catalytic activity	41	72	9101	28362	1.2e-05	0.00016	// AT3G16480 // AT3G62530 // AT5G20080 // AT3G49240 // AT5G53350 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G11770 // AT3G52730 // AT3G22330 // AT3G09810 // AT5G08530 // AT2G45290 // AT5G08690 // AT1G10270 // AT2G26080 // AT5G66510 // AT5G63400 // AT5G37510 // ATCG00490 // AT3G17240 // AT5G23140 // AT4G09730 // AT3G12260 // AT3G19170 // AT5G63510 // AT4G11010 // AT4G29130 // AT3G22310 // AT2G37250 // AT2G33040 // AT5G60960 // AT4G02580 // AT1G51980 // AT1G15120 // AT1G80270 // AT5G47890 // AT1G22450 // AT1G61870 // AT2G43360 
GO:0035639	F	purine ribonucleoside triphosphate binding	19	72	2515	28362	1.2e-05	0.00016	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0032549	F	ribonucleoside binding	19	72	2617	28362	2.1e-05	0.00024	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0032550	F	purine ribonucleoside binding	19	72	2612	28362	2.1e-05	0.00024	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0001883	F	purine nucleoside binding	19	72	2612	28362	2.1e-05	0.00024	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0001882	F	nucleoside binding	19	72	2618	28362	2.1e-05	0.00024	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0017076	F	purine nucleotide binding	19	72	2633	28362	2.3e-05	0.00024	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0032555	F	purine ribonucleotide binding	19	72	2631	28362	2.3e-05	0.00024	// AT4G09730 // AT5G61030 // AT4G29130 // AT4G37910 // AT2G45030 // AT5G53350 // AT5G08690 // AT5G55200 // AT3G49240 // AT4G11010 // AT2G26080 // AT2G31060 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0015078	F	hydrogen ion transmembrane transporter activity	5	72	136	28362	3e-05	0.0003	// AT2G33040 // AT5G08690 // AT1G15120 // AT1G22450 // AT3G52730 
GO:0005524	F	ATP binding	17	72	2248	28362	3.9e-05	0.00037	// AT4G09730 // AT4G29130 // AT4G37910 // AT3G49240 // AT5G53350 // AT5G08690 // AT5G55200 // AT4G11010 // AT2G26080 // AT5G61030 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0032559	F	adenyl ribonucleotide binding	17	72	2364	28362	7.2e-05	0.00066	// AT4G09730 // AT4G29130 // AT4G37910 // AT3G49240 // AT5G53350 // AT5G08690 // AT5G55200 // AT4G11010 // AT2G26080 // AT5G61030 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0030554	F	adenyl nucleotide binding	17	72	2366	28362	7.3e-05	0.00066	// AT4G09730 // AT4G29130 // AT4G37910 // AT3G49240 // AT5G53350 // AT5G08690 // AT5G55200 // AT4G11010 // AT2G26080 // AT5G61030 // AT5G63400 // AT2G37250 // AT3G22310 // AT3G17240 // AT5G48030 // AT1G51980 // AT3G22330 
GO:0022891	F	substrate-specific transmembrane transporter activity	10	72	916	28362	0.00011	0.00097	// AT2G33040 // AT5G08690 // AT1G22450 // AT1G61570 // AT5G43970 // AT1G15120 // AT3G52730 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0015077	F	monovalent inorganic cation transmembrane transporter activity	5	72	211	28362	0.00022	0.0019	// AT2G33040 // AT5G08690 // AT1G15120 // AT1G22450 // AT3G52730 
GO:0004175	F	endopeptidase activity	5	72	225	28362	0.0003	0.0025	// AT3G16480 // AT3G02090 // AT3G19170 // AT5G23140 // AT1G51980 
GO:0022892	F	substrate-specific transporter activity	10	72	1045	28362	0.00032	0.0025	// AT2G33040 // AT5G08690 // AT1G22450 // AT1G61570 // AT5G43970 // AT1G15120 // AT3G52730 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0004519	F	endonuclease activity	5	72	255	28362	0.00052	0.0041	// AT1G61870 // AT5G60960 // AT1G10270 // AT1G80270 // AT3G49240 
GO:0022857	F	transmembrane transporter activity	10	72	1146	28362	0.00064	0.0049	// AT2G33040 // AT5G08690 // AT1G22450 // AT1G61570 // AT5G43970 // AT1G15120 // AT3G52730 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0015075	F	ion transmembrane transporter activity	7	72	629	28362	0.0011	0.0084	// AT2G33040 // AT5G08690 // AT3G52730 // AT1G15120 // AT1G22450 // AT5G14040 // AT5G67500 
GO:1901363	F	heterocyclic compound binding	32	72	7718	28362	0.0013	0.0092	// AT4G37910 // AT3G49240 // AT5G53350 // AT5G55200 // AT2G31060 // AT1G80270 // AT4G29130 // AT5G48030 // AT3G09810 // AT5G54580 // AT5G08690 // AT1G10270 // AT2G26080 // AT5G63400 // AT3G17240 // AT4G09730 // AT5G08530 // AT3G19170 // AT3G22330 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT4G36680 // AT1G64880 // AT5G60960 // AT1G51980 // AT2G45030 // AT5G61030 // AT1G61870 // AT3G27240 
GO:0097159	F	organic cyclic compound binding	32	72	7737	28362	0.0013	0.0094	// AT4G37910 // AT3G49240 // AT5G53350 // AT5G55200 // AT2G31060 // AT1G80270 // AT4G29130 // AT5G48030 // AT3G09810 // AT5G54580 // AT5G08690 // AT1G10270 // AT2G26080 // AT5G63400 // AT3G17240 // AT4G09730 // AT5G08530 // AT3G19170 // AT3G22330 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT4G36680 // AT1G64880 // AT5G60960 // AT1G51980 // AT2G45030 // AT5G61030 // AT1G61870 // AT3G27240 
GO:0022890	F	inorganic cation transmembrane transporter activity	5	72	325	28362	0.0015	0.01	// AT2G33040 // AT5G08690 // AT1G15120 // AT1G22450 // AT3G52730 
GO:0004518	F	nuclease activity	5	72	356	28362	0.0022	0.015	// AT1G61870 // AT5G60960 // AT1G10270 // AT1G80270 // AT3G49240 
GO:0016887	F	ATPase activity	6	72	530	28362	0.0024	0.016	// AT4G09730 // AT2G33040 // AT5G53350 // AT5G08690 // AT3G22330 // AT3G22310 
GO:0008233	F	peptidase activity	6	72	544	28362	0.0027	0.017	// AT3G16480 // AT3G19170 // AT5G53350 // AT1G51980 // AT3G02090 // AT5G23140 
GO:0005215	F	transporter activity	10	72	1406	28362	0.0029	0.018	// AT2G33040 // AT5G08690 // AT1G22450 // AT1G61570 // AT5G43970 // AT1G15120 // AT3G52730 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0016787	F	hydrolase activity	17	72	3279	28362	0.0031	0.019	// AT4G09730 // AT3G16480 // AT3G19170 // AT3G49240 // AT5G53350 // AT5G08690 // AT1G10270 // AT3G22330 // AT1G51980 // AT1G80270 // AT2G31060 // AT3G02090 // AT3G22310 // AT5G60960 // AT1G61870 // AT5G23140 // AT2G33040 
GO:0042623	F	ATPase activity, coupled	5	72	389	28362	0.0033	0.019	// AT4G09730 // AT5G08690 // AT3G22330 // AT3G22310 // AT2G33040 
GO:0017111	F	nucleoside-triphosphatase activity	7	72	766	28362	0.0034	0.02	// AT4G09730 // AT2G33040 // AT5G53350 // AT5G08690 // AT3G22330 // AT2G31060 // AT3G22310 
GO:0016462	F	pyrophosphatase activity	7	72	809	28362	0.0046	0.026	// AT4G09730 // AT2G33040 // AT5G53350 // AT5G08690 // AT3G22330 // AT2G31060 // AT3G22310 
GO:0016818	F	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	7	72	817	28362	0.0048	0.027	// AT4G09730 // AT2G33040 // AT5G53350 // AT5G08690 // AT3G22330 // AT2G31060 // AT3G22310 
GO:0016817	F	hydrolase activity, acting on acid anhydrides	7	72	826	28362	0.0051	0.028	// AT4G09730 // AT2G33040 // AT5G53350 // AT5G08690 // AT3G22330 // AT2G31060 // AT3G22310 
GO:0048037	F	cofactor binding	5	72	451	28362	0.006	0.033	// AT3G17240 // AT5G08530 // AT3G22200 // AT5G11770 // AT3G09810 
GO:0070011	F	peptidase activity, acting on L-amino acid peptides	5	72	458	28362	0.0064	0.034	// AT3G16480 // AT3G02090 // AT3G19170 // AT5G23140 // AT1G51980 
GO:0008324	F	cation transmembrane transporter activity	5	72	464	28362	0.0068	0.035	// AT2G33040 // AT5G08690 // AT1G15120 // AT1G22450 // AT3G52730 
GO:0022804	F	active transmembrane transporter activity	5	72	595	28362	0.018	0.092	// AT2G33040 // AT5G08690 // AT3G08580 // AT5G43970 // AT1G61570 
GO:0003676	F	nucleic acid binding	18	72	4558	28362	0.034	0.17	// AT5G54580 // AT4G09730 // AT1G64880 // AT3G19170 // AT2G45030 // AT5G08690 // AT1G10270 // AT3G49240 // AT3G22330 // AT5G61030 // AT2G31060 // AT4G30930 // AT1G80270 // AT4G11120 // AT3G22310 // AT5G60960 // AT1G61870 // AT4G36680 
GO:0016788	F	hydrolase activity, acting on ester bonds	5	72	1131	28362	0.16	0.79	// AT1G61870 // AT5G60960 // AT1G10270 // AT1G80270 // AT3G49240 
GO:0005515	F	protein binding	12	72	3669	28362	0.22	1	// AT5G54580 // AT3G19170 // AT4G37910 // AT5G53350 // AT5G63510 // AT1G10270 // AT3G15000 // AT4G29130 // AT5G60960 // AT5G61030 // AT5G48030 // AT5G55200 
GO:0016740	F	transferase activity	7	72	3791	28362	0.86	1	// AT2G45290 // AT4G11010 // AT3G22200 // AT4G29130 // AT5G63400 // AT2G37250 // AT2G43360 
GO:0003677	F	DNA binding	5	72	2417	28362	0.74	1	// AT5G61030 // AT4G30930 // AT1G80270 // AT3G19170 // AT3G22310 
GO:0005739	C	mitochondrion	64	72	3687	28362	1.3e-47	5.4e-45	// AT3G16480 // AT3G62530 // AT4G37910 // AT5G20080 // AT3G49240 // AT5G53350 // AT4G21020 // AT3G07480 // AT3G22200 // AT5G43970 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G64670 // AT3G52730 // AT5G48030 // AT3G09810 // AT5G67500 // AT5G54580 // AT4G15640 // AT1G15120 // AT5G08690 // AT1G10270 // AT3G15000 // AT1G61570 // AT2G26080 // AT5G61030 // AT5G66510 // AT5G63400 // AT5G37510 // AT3G02650 // AT3G17240 // AT5G23140 // AT5G08530 // AT4G29130 // AT3G19170 // AT1G19520 // AT5G63510 // AT5G55200 // AT5G40660 // AT4G11010 // AT3G12260 // AT4G11120 // AT4G30930 // AT2G37250 // AT3G08580 // AT3G22330 // AT1G26460 // AT2G33040 // AT1G64880 // AT5G60960 // AT5G51440 // AT1G70190 // AT4G02580 // AT1G51980 // AT4G36680 // AT2G45030 // AT1G80270 // AT5G47890 // AT1G22450 // AT1G61870 // AT2G43360 // AT5G14040 // AT3G27240 
GO:0044429	C	mitochondrial part	32	72	486	28362	1.2e-36	2.6e-34	// AT3G16480 // AT4G37910 // AT5G20080 // AT5G53350 // AT5G55200 // AT5G43970 // AT3G02090 // AT3G52730 // AT5G08530 // AT5G08690 // AT1G61570 // AT5G66510 // AT5G37510 // AT5G63510 // AT3G17240 // AT5G23140 // AT3G12260 // AT3G19170 // AT5G11770 // AT4G11010 // AT4G29130 // AT3G08580 // AT5G67500 // AT2G33040 // AT5G60960 // AT4G02580 // AT1G51980 // AT1G15120 // AT5G47890 // AT1G61870 // AT5G14040 // AT3G27240 
GO:0005740	C	mitochondrial envelope	27	72	376	28362	1.3e-31	1.9e-29	// AT3G16480 // AT5G20080 // AT5G55200 // AT5G43970 // AT3G02090 // AT3G52730 // AT5G08530 // AT5G08690 // AT1G61570 // AT5G66510 // AT5G37510 // AT5G63510 // AT3G17240 // AT3G12260 // AT5G11770 // AT4G11010 // AT4G29130 // AT3G08580 // AT5G67500 // AT2G33040 // AT4G02580 // AT1G51980 // AT1G15120 // AT5G47890 // AT1G61870 // AT5G14040 // AT3G27240 
